time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-11 00:00:00+00:00,0,0,3,3
2022-07-12 00:00:00+00:00,0,0,17,1
2022-07-19 00:00:00+00:00,0,0,1,1
2022-07-20 00:00:00+00:00,0,0,1,1
2022-07-21 00:00:00+00:00,0,0,2,1
2022-07-22 00:00:00+00:00,9,6,7,3
2022-07-23 00:00:00+00:00,2,2,0,0
2022-07-24 00:00:00+00:00,3,3,0,0
2022-07-25 00:00:00+00:00,1,1,0,0
2022-07-26 00:00:00+00:00,3,3,9,3
2022-07-27 00:00:00+00:00,1,1,1,1
2022-07-28 00:00:00+00:00,1,1,0,0
2022-07-29 00:00:00+00:00,1,1,1,1
2022-07-30 00:00:00+00:00,1,1,0,0
2022-07-31 00:00:00+00:00,1,1,1,1
2022-08-01 00:00:00+00:00,1,1,0,0
2022-08-02 00:00:00+00:00,1,1,2,2
2022-08-03 00:00:00+00:00,2,2,5,2
2022-08-04 00:00:00+00:00,1,1,0,0
2022-08-05 00:00:00+00:00,1,1,1,1
2022-08-06 00:00:00+00:00,2,2,0,0
2022-08-07 00:00:00+00:00,1,1,2,2
2022-08-08 00:00:00+00:00,2,2,1,1
2022-08-09 00:00:00+00:00,3,3,0,0
2022-08-10 00:00:00+00:00,1,1,1,1
2022-08-11 00:00:00+00:00,2,2,0,0
2022-08-12 00:00:00+00:00,2,2,2,2
2022-08-13 00:00:00+00:00,1,1,0,0
2022-08-14 00:00:00+00:00,3,3,0,0
2022-08-15 00:00:00+00:00,1,1,0,0
2022-08-16 00:00:00+00:00,1,1,1,1
2022-08-17 00:00:00+00:00,2,2,0,0
2022-08-18 00:00:00+00:00,1,1,0,0
2022-08-19 00:00:00+00:00,2,2,0,0
2022-08-20 00:00:00+00:00,3,3,0,0
2022-08-21 00:00:00+00:00,1,1,0,0
2022-08-22 00:00:00+00:00,2,2,0,0
2022-08-23 00:00:00+00:00,2,2,1,1
2022-08-24 00:00:00+00:00,2,2,0,0
